Title,Views,Notes
Monthly gridded Global Land Data Assimilation System (GLDAS) from Noah-v3.3 land hydrology model for GRACE and GRACE-FO over nominal months,8,"National Aeronautics and Space Administration —
The total land water storage anomalies are aggregated from the Global Land Data Assimilation System (GLDAS) NOAH model. GLDAS outputs land water content by using..."
"BigFoot Field Data for North American Sites, 1999-2003",8,"National Aeronautics and Space Administration —
The BigFoot project gathered field data for selected EOS Land Validation Sites in North America from 1999 to 2003. Data collected and derived for varying intervals at..."
STEP File Analyzer and Viewer Software,8,"National Institute of Standards and Technology —
The STEP File Analyzer and Viewer is a software tool that generates a spreadsheet or a set of CSV (comma-separated value) files from a STEP (ISO 10303 Standard for..."
Transporter Classification Database (TCDB),8,"U.S. Department of Health & Human Services —
The Transporter Classification Database details a comprehensive classification system for membrane transport proteins known as the Transporter Classification (TC)..."
County-level drought indices The Palmer Drought Severity Index(PDSI)and Palmer Hydrological Drought Index(PHDI),8,"Department of the Interior —
Drought is a natural hazard that inflicts costly damage to the environment and human communities. Although ample literature exists on the climatological aspects of..."
New Mexico National Cemeteries,8,"Earth Data Analysis Center, University of New Mexico —
The United States Department of Veterans Affairs National Cemetery Administration maintains 2 national cemeteries in the state of New Mexico; the Fort Bayard National..."
Costs of Electronic Payments in K-12 Schools,8,"Consumer Financial Protection Bureau —
K-12 schools are increasingly offering families the option to pay school-related expenses online via third-party payment processors, presenting new costs and..."
ECOSTRESS Gridded Evapotranspiration Instantaneous and Daytime L3 Global 70 m V002,8,"National Aeronautics and Space Administration —
The ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) mission measures the temperature of plants to better understand how much water..."
"Neighborhoods, Detroit",8,"City of Ferndale, Michigan —
While there is no one accepted complete neighborhood boundaries in the city of Detroit, this file is a commonly used and agreed upon set of boundaries. It is..."
Parcel Lots,8,"District of Columbia —
These are lands still within the District of Columbia that has never been subdivided into either Record or Tax Lots through the two offices that manage land records..."
Bikeshare,8,"Department of Transportation —
The Bikeshare dataset was compiled on August 10, 2021 and was updated October 19, 2022 from the Bureau of Transportation Statistics (BTS) and is part of the U.S...."
Periodic Table of the Elements: Atomic Properties,8,"National Institute of Standards and Technology —
A periodic table, containing NIST critically-evaluated data on atomic properties of the elements [SP 966] was designed as a NIST handout for use at exhibitions and..."
"NFC - Entry, Processing, Inquiry, and Corrections System (EPICWEB)",8,"Department of Homeland Security —
EPIC is an internet based payroll/personnel database entry, processing, correction, and inquiry application of the National Finance Center (NFC). Payroll and..."
Oklahoma Public School Site Directory,8,"State of Oklahoma —
Contact information for Oklahoma State Department of Education (SDE) accredited, public education sites in Oklahoma, including: website address, contact information..."
"TIGER/Line Shapefile, 2020, Nation, U.S., 2010 Urban Areas",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
"SST, Aqua MODIS, NPP, 0.0125Â°, West US, Day time (11 microns), 2002-present (1 Day Composite), Lon+/-180",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
NOAA CoastWatch provides SST data from NASA's Aqua Spacecraft. Measurements are gathered by the Moderate Resolution Imaging Spectroradiometer (MODIS) carried aboard..."
"TIGER/Line Shapefile, Current, State, Arizona, Census Tract",8,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
"TIGER/Line Shapefile, 2023, State, South Carolina, Primary and Secondary Roads",8,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
MD COVID-19 - Cases by ZIP Code,8,"State of Maryland —
NOTE: This dataset is no longer being updated as of 4/27/2023. It is retired and no longer included in public COVID-19 data dissemination. See this link for more..."
Combatting Illicit Fentanyl,8,"Department of Homeland Security —
This dataset is about ICE/HSI numerous efforts and operations which were developed and implemented strategies for combating Illicit Opioids,. This also builds upon..."
"NOS CO-OPS Water Level Data, High Low Tide Prediction",8,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset has High Low Tide Predictions from NOAA NOS Center for Operational Oceanographic Products and Services (CO-OPS). The official Tide and Tidal Current..."
Tobacco Retailer Permits,8,"City of Philadelphia —
Retailers apply for a tobacco permit through an online application system, entering name, address, and other relevant business information. These data are cleaned and..."
Tax Administration's Real Estate - Sales Data,8,"Fairfax County, Virginia —
This table contains property sales information including sale date, price, and amounts for properties within Fairfax County. There is a one to many relationship to..."
Weekly Gasoline Product Supplied,8,"Department of Transportation —
This dataset offers insight on weekly fluctuation of the gasoline product supply, which is an important part of any analysis of construction trends, materials and..."
2020 Environmental Performance Index (EPI),8,"National Aeronautics and Space Administration —
The 2020 Environmental Performance Index (EPI) ranks 180 countries on 32 performance indicators in the following 11 issue categories: air quality, sanitation and..."
EnviroAtlas - Dasymetric Population for the Conterminous United States,8,"U.S. Environmental Protection Agency —
This EnviroAtlas dataset intelligently reallocates 2010 population from census blocks to 30 meter pixels based on land cover and slope. This dataset was produced by..."
